Temperature,Population,Individual,Bloodfed.Date,Egg.Date,Eggs,Death.Date,Winglength,Oviposited,Notes,CycleLength,EFD
13.35,EUG,EUG104,8/11/22,NA,0,NA,NA,n,Adult still alive but no eggs laid by date of experiment termination (9/28),NA,NA
13.35,HOP,HOP105,8/6/22,8/28/22,54,NA,NA,y,Sample not sufficiently intact for wing length measurement,22,2.454545455
13.35,HOP,HOP109,8/6/22,9/10/22,54,9/10/22,3.065,y,,35,1.542857143
13.35,HOP,HOP114,8/6/22,9/12/22,24,NA,3.44,y,,37,0.648648649
13.35,HOP,HOP216,8/12/22,NA,0,NA,NA,n,,NA,NA
13.35,JRA,JRA103,8/7/22,NA,0,9/16/22,NA,n,,NA,NA
13.35,JRA,JRA107,8/7/22,NA,0,8/25/22,NA,n,,NA,NA
13.35,JRA,JRA304,8/16/22,NA,0,NA,NA,n,Adult still alive but no eggs laid by date of experiment termination (9/28),NA,NA
13.35,MAR,MAR105,8/7/22,NA,0,9/23/22,NA,n,,NA,NA
13.35,MAR,MAR209,8/11/22,9/10/22,21,9/10/22,3.262,y,,30,0.7
13.35,MAR,MAR212,8/11/22,NA,NA,NA,NA,NA,,NA,NA
13.35,MAR,MAR303,8/17/22,NA,NA,NA,NA,NA,,NA,NA
13.35,MUR,MUR101,8/9/22,8/26/22,4,NA,NA,y,,17,0.235294118
13.35,MUR,MUR202,8/15/22,8/28/22,25,NA,3.274,y,,13,1.923076923
13.35,PAR,PAR101,8/9/22,8/28/22,25,NA,3.178,y,,19,1.315789474
13.35,PAR,PAR201,8/16/22,NA,0,8/25/22,NA,n,,NA,NA
13.35,PLA,PLA104,8/11/22,9/9/22,21,NA,3.394,y,,29,0.724137931
13.35,PLA,PLA109,8/12/22,9/8/22,128,NA,3.314,y,,27,4.740740741
13.35,POW,POW103,8/11/22,NA,0,8/28/22,NA,n,,NA,NA
13.35,SB,SB102,8/11/22,NA,NA,NA,NA,NA,,NA,NA
13.35,SB,SB108,8/11/22,8/25/22,22,NA,NA,y,,14,1.571428571
13.35,SB,SB114,8/12/22,9/25/22,88,NA,3.309,y,,44,2
13.35,WAW,WAW104,8/11/22,9/17/22,92,NA,3.416,y,,37,2.486486486
13.35,WAW,WAW106,8/11/22,8/25/22,167,NA,NA,y,,14,11.92857143
23.75,EUG,EUG101,8/11/22,8/27/22,19,NA,3.41,y,,16,1.1875
23.75,HOP,HOP104,8/6/22,8/17/22,32,NA,3.452,y,Put adult in PCR tube in -80. Put eggs (which were laid on the cotton ball) at room temp on the counter where eggs from the reared populations usually live,11,2.909090909
23.75,HOP,HOP110,8/6/22,8/18/22,123,NA,3.498,y,,12,10.25
23.75,HOP,HOP115,8/6/22,NA,0,8/30/22,NA,n,,NA,NA
23.75,HOP,HOP215,8/11/22,8/22/22,107,NA,3.38,y,,11,9.727272727
23.75,JRA,JRA105,8/7/22,NA,0,8/16/22,NA,n,,NA,NA
23.75,JRA,JRA106,8/7/22,8/22/22,14,NA,2.89,y,,15,0.933333333
23.75,MAR,MAR101,8/6/22,8/22/22,212,NA,3.442,y,suspected earlier date of oviposition ,16,13.25
23.75,MAR,MAR106,8/7/22,NA,0,9/3/22,NA,n,,NA,NA
23.75,MAR,MAR215,8/11/22,9/2/22,156,NA,3.649,y,,22,7.090909091
23.75,MAR,MAR302,8/16/22,8/22/22,167,NA,3.385,y,,6,27.83333333
23.75,MUR,MUR103,8/9/22,NA,NA,NA,NA,,sample missing,NA,NA
23.75,MUR,MUR201,8/15/22,NA,0,8/19/22,NA,n,,NA,NA
23.75,PAR,PAR104,8/9/22,8/15/22,45,NA,3.571,y,,6,7.5
23.75,PAR,PAR107,8/9/22,8/26/22,30,NA,3.414,y,,17,1.764705882
23.75,PLA,PLA103,8/11/22,8/29/22,109,NA,NA,y,,18,6.055555556
23.75,PLA,PLA108,8/12/22,8/22/22,152,NA,3.589,y,,10,15.2
23.75,POW,POW105,8/11/22,8/23/22,146,NA,3.011,y,,12,12.16666667
23.75,POW,POW107,8/12/22,9/7/22,118,NA,3.153,y,,26,4.538461538
23.75,POW,POW206,8/17/22,8/25/22,47,NA,NA,y,,8,5.875
23.75,SB,SB101,8/11/22,NA,0,9/12/22,NA,n,,NA,NA
23.75,SB,SB107,8/11/22,9/16/22,92,NA,3.1,y,,36,2.555555556
23.75,SB,SB115,8/12/22,9/10/22,111,9/10/22,3.235,y,,29,3.827586207
23.75,WAW,WAW103,8/11/22,8/23/22,19,NA,3.217,y,,12,1.583333333
23.75,WAW,WAW202,8/17/22,NA,0,NA,NA,n,,NA,NA
