SampleID,Population,Temp.Treatment,Date.Started,Larval.Survival,Date.Larval.Death,Larval.Diapause,Date.Pupation,Pupal.Survival,Date.Pupal.Death,Date.Adult.Eclosion,Date.Adult.Death,Sex,Usage,Notes,Extract.Status,Date.Extracted,Extraction.Notes,Nanodrop.Conc,Nanodrop.260.280,Nanodrop.260.230,Approximate.Volume,Left.Wing.Length,Remove.From.Fitness.Count
Hop37.001,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.002,HOP,F,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.003,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.004,HOP,F,7/6/22,N,7/7/22,,,,,,,,,,,,,,,,,,
Hop37.005,HOP,F,7/6/22,N,7/7/22,,,,,,,,,,,,,,,,,,
Hop37.006,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.007,HOP,F,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.008,HOP,F,7/6/22,N,7/10/22,,,,,,,,,,,,,,,,,,
Hop37.009,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.010,HOP,F,7/6/22,N,7/9/22,,,,,,,,,,,,,,,,,,
Hop37.011,HOP,D,7/6/22,Y,,,7/15/22,Y,,7/19/22,8/4/22,M,,,,,,,,,,2.293,
Hop37.012,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/19/22,7/21/22,M,,,needs clean-up,9/8/22,,38.2,1.91,1.25,99,3.266,
Hop37.013,HOP,D,7/6/22,Y,,,7/16/22,,,?,7/25/22,?,DontSequence,Missing date of adult eclosion and sex,,,,,,,,,
Hop37.014,HOP,D,7/6/22,Y,,,7/16/22,Y,,7/20/22,7/30/22,F,,,,,,,,,,2.777,
Hop37.015,HOP,D,7/6/22,Y,,,7/18/22,,,7/22/22,8/9/22,F,,,,,,,,,,,yes
Hop37.016,HOP,E,7/6/22,Y,,,7/15/22,Y,,7/18/22,7/27/22,F,,,,,,,,,,2.735,
Hop37.017,HOP,E,7/6/22,Y,,,7/17/22,Y,,7/20/22,8/1/22,F,,,,,,,,,,2.761,
Hop37.018,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
Hop37.019,HOP,E,7/6/22,N,7/11/22,,,,,,,,,,,,,,,,,,
