"","SampleID","Population","Temp.Treatment","Date.Started","Larval.Survival","Date.Larval.Death","Larval.Diapause","Date.Pupation","Pupal.Survival","Date.Pupal.Death","Date.Adult.Eclosion","Date.Adult.Death","Sex","Usage","Left.Wing.Length","Remove.From.Fitness.Count","Length.Larval.Dev","Length.Pupal.Dev","Length.Juvenile.Dev","LarvalDevRate","PupalDevRate","JuvenileDevRate","Juvenile.Survival","AdultLifespan","EggCount","fitness","SexWeightedFitness"
"1","Hop37.001","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"2","Hop37.002","HOP",32.18,2022-07-06,"0",2022-07-10,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"3","Hop37.003","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"4","Hop37.004","HOP",32.18,2022-07-06,"0",2022-07-07,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"5","Hop37.005","HOP",32.18,2022-07-06,"0",2022-07-07,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"6","Hop37.006","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"7","Hop37.007","HOP",32.18,2022-07-06,"0",2022-07-11,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"8","Hop37.008","HOP",32.18,2022-07-06,"0",2022-07-10,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"9","Hop37.009","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"10","Hop37.010","HOP",32.18,2022-07-06,"0",2022-07-09,"n",NA,NA,NA,NA,NA,"","",NA,"",NA,NA,NA,NA,NA,NA,"0",NA,NA,0,0
"11","Hop37.011","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-15,"1",NA,2022-07-19,2022-08-04,"M","",2.293,"",10,4,14,0.1,0.25,0.0714285714285714,"1",16,29.73969,14.869845,10.7393325
"12","Hop37.012","HOP",23.75,2022-07-06,"1",NA,"n",2022-07-16,"1",NA,2022-07-19,2022-07-21,"M","",3.266,"",11,3,14,0.0909090909090909,0.333333333333333,0.0714285714285714,"1",2,79.68378,0,0
