Temperature,Population,Individual,Bloodfed.Date,Egg.Date,Eggs,Death.Date,Winglength,Oviposited,Notes
28,HOP  ,HOP101,8/6/22,8/22/22,17,8/22/22,3.55,y,
18,HOP  ,HOP102,8/6/22,9/17/22,95,NA,3.364,y,
4,HOP  ,HOP103,8/6/22,NA,0,NA,,n,Adult still alive but no eggs laid by date of experiment termination (9/28)
24,HOP  ,HOP104,8/6/22,8/17/22,32,NA,3.452,y,Put adult in PCR tube in -80. Put eggs (which were laid on the cotton ball) at room temp on the counter where eggs from the reared populations usually live
14,HOP  ,HOP105,8/6/22,8/28/22,54,,NA,y,Sample not sufficiently intact for wing length measurement
18,HOP  ,HOP106,8/6/22,8/25/22,4,NA,,y,in PCR tube in -80
28,HOP  ,HOP107,8/6/22,8/22/22,2,NA,,y,
4,HOP  ,HOP108,8/6/22,NA,0,9/12/22,,n,
14,HOP  ,HOP109,8/6/22,9/10/22,54,9/10/22,3.065,y,
24,HOP  ,HOP110,8/6/22,8/18/22,123,NA,3.498,y,Put adult in PCR tube in -80. Put the whole oviposition cup (since eggs were laid in multiple places) at room temp on the counter where eggs from the reaerd populations usually live
18,HOP  ,HOP111,8/7/22,8/23/22,1,NA,NA,y,Wings were too wet/smooshed together to measure
28,HOP  ,HOP112,8/6/22,8/14/22,21,NA,3.273,y,"Put whole deli cup, including eggs (laid on sugar cotton ball) and live adult in the -80"
4,HOP  ,HOP113,8/6/22,NA,0,NA,,n,Adult still alive but no eggs laid by date of experiment termination (9/28)
14,HOP  ,HOP114,8/6/22,9/12/22,24,NA,3.44,y,
24,HOP  ,HOP115,8/6/22,NA,0,8/30/22,,n,
24,MAR  ,MAR101,8/6/22,8/22/22,212,NA,3.442,y,suspected earlier date
18,MAR  ,MAR102,8/6/22,9/12/22,73,NA,3.451,y,
4,MAR  ,MAR103,8/6/22,NA,0,9/7/22,,n,
