Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,7.796000481,6.86400032,6.942000389,8.018000603,7.812000275,7.672000408,6.750000477,6.287000179,6.389000416,6.794000149,8.452000618,7.556000233,7.301000118,6.951000214,9.790000916,6.920000553,6.487000465,7.410000324,8.347000122,6.636000156,8.129400253,7.381999969
MAR2,9.312000275,7.749000549,8.249000549,9.206000328,8.522000313,7.291000366,7.965000153,7.583000183,7.125000477,7.319000244,9.077000618,8.035000801,8.680000305,7.065000534,10.71700096,8.418000221,8.156000137,8.407999992,9.829000473,8.43500042,9.502999306,8.825799942
MAR1,9.097000122,7.612000465,8.210000038,9.294000626,7.993000507,6.71900034,7.136000156,7.251000404,7.255000114,7.294000149,8.918000221,7.792000294,8.506999969,6.976000309,10.1050005,8.412000656,8.134000778,8.442000389,9.805000305,8.637000084,9.529000282,8.915599823
JRA,10.28300095,9.276000023,8.721000671,10.47800064,9.918000221,8.709000587,8.940000534,8.675000191,8.466000557,9.427000046,10.63800049,9.633000374,9.877000809,8.951000214,11.69800091,9.547000885,9.817000389,9.050000191,11.1260004,8.822000504,10.23900032,9.845199585
POW,13.65200043,12.05500031,13.5720005,13.65100098,13.20600033,14.16200066,11.87000084,12.77600098,12.79700089,13.29500103,14.3550005,12.65800095,13.25900078,13.6970005,15.16600037,13.73900032,13.83100033,12.66300106,14.69500065,10.8210001,14.10299969,11.80410004
SB,11.49700069,9.896000862,9.745000839,10.73400021,9.913000107,11.79600048,9.401000023,9.105000496,9.713000298,9.322000504,11.19400024,9.446000099,9.708000183,9.655000687,11.35400009,10.41200066,11.04600048,9.969000816,11.58400059,8.86700058,11.14199924,11.10789967
PAR,9.785000801,7.119000435,7.132000446,8.794000626,8.063000679,8.960000038,7.385000229,6.40500021,7.227000237,7.30700016,9.151000023,7.125000477,8.785000801,7.192000389,11.1590004,6.821000099,8.98500061,8.595000267,8.895000458,7.115000248,8.730999947,8.291699409
PLA,8.510000229,7.420000553,6.834000111,8.833000183,7.324000359,7.089000225,7.92800045,6.601000309,6.332000256,6.845000267,8.353000641,7.165000439,7.800000191,7.255000114,10.25400066,7.381000519,7.425000191,6.999000549,8.565999985,7.056000233,8.516000748,7.215899944
EUG,4.174000263,4.822000027,5.233000278,5.909000397,5.386000156,4.118999958,4.753000259,3.110000134,2.532000065,2.028000116,6.286000252,3.375000238,4.872000217,1.157000065,4.415000439,6.187000275,2.726000071,2.101000071,5.073000431,3.4150002,5.667999744,5.262599945
WAW,7.763000488,5.859000206,6.558000088,7.365000248,6.241000175,7.641000271,5.424000263,5.453000069,5.551000118,6.715000153,7.730000496,6.177000523,6.322000504,6.797000408,8.295000076,5.575000286,7.23900032,5.368000031,7.247000217,3.985000134,7.113000393,7.532399654
