Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,21.62000084,21.80900192,22.29900169,23.11000061,21.70800018,23.68100166,24.3900013,21.66100121,22.63600159,22.21500015,21.01200104,22.4260006,22.89700127,22.53600121,23.17200089,22.52000046,21.62700081,24.79100037,24.67400169,23.86949921,23.66499901,24.39789963
MAR2,19.56100082,19.44400024,19.78100014,19.96700096,20.15100098,20.42000008,21.23700142,19.40100098,20.29600143,20.03700066,18.81200027,19.52200127,18.89700127,19.34400177,20.39700127,20.48200035,19.37800026,20.67400169,20.18300056,20.96139908,21.77899933,20.67790031
MAR1,19.13100052,18.80800056,19.15400124,19.36800003,19.17500114,19.4620018,20.38800049,18.12200165,19.3920002,19.72400093,18.59900093,19.01000023,18.29600143,19.19400024,20.24100113,20.39300156,19.01600075,20.54100037,20.03700066,20.41989899,21.80340004,20.77019882
JRA,20.22100067,20.52100182,21.12500191,22.32300186,20.80200005,21.97000122,23.37000084,20.56800079,20.76300049,21.11900139,20.59700012,20.3730011,20.66900063,21.64400101,22.04700089,21.29300117,20.00600052,21.83200073,21.22100067,21.24250031,22.39449883,21.18299866
POW,24.79200172,23.82100105,24.04600143,25.81800079,24.31800079,24.03600121,26.94900131,25.06400108,24.5700016,25.50200081,23.43000031,24.40100098,26.6400013,24.55000114,25.7120018,26.11100197,24.58100128,24.88700104,26.00200081,24.60699844,24.73849869,23.06889915
SB,22.83300018,22.8200016,23.34100151,24.68700027,23.1780014,23.92000198,26.30900192,23.20400047,23.63600159,23.82600021,21.5320015,22.37600136,25.05200195,23.6400013,23.89400101,24.41100121,23.52300072,24.29000092,25.42300034,23.09589958,24.3178997,23.27949905
PAR,21.20300102,20.45800018,20.83100128,22.47200012,20.09000015,21.6780014,23.32700157,20.95200157,21.27100182,21.21100044,19.2120018,20.20200157,23.07100105,21.23200035,21.39800072,20.88900185,20.55700111,22.16700172,23.31800079,21.22939873,22.38549995,21.90320015
PLA,24.6400013,24.12800026,25.58500099,27.04800034,24.82500076,26.54600143,27.20100212,24.73600197,25.7120018,25.26400185,24.85100174,24.81000137,26.27200127,26.34700203,26.26400185,25.05900192,25.07900047,26.4470005,27.19800186,25.36299896,26.89299965,27.48349953
EUG,18.49400139,19.26900101,20.0530014,20.46800041,20.56800079,20.28900146,20.3200016,20.16000175,19.45300102,20.5720005,18.9450016,19.46100044,19.91100121,20.58800125,21.34500122,21.36100006,20.37000084,21.11800194,20.39300156,20.34140015,19.9734993,21.28369904
WAW,25.93500137,26.61900139,27.24300194,27.604002,26.31100082,27.62400055,28.15000153,26.52400208,27.06000137,27.53800201,26.00200081,25.24500084,28.07800102,28.0720005,27.41200066,26.12600136,26.4260006,27.52400208,28.05500221,25.82099915,27.75,29.10499954
