Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,52,61,52,52,46,53,58,42,57,68,42,59,63,47,60,61,57,72,74,56,79,90
MARIN29,21,26,21,21,20,21,27,14,41,38,19,20,24,21,24,28,28,39,20,30,42,39
MARIN35,20,20,16,16,12,13,21,11,29,31,17,17,15,20,19,26,21,32,17,24,41,32
JRA,31,32,31,30,22,24,32,23,38,38,18,22,18,24,25,24,26,34,17,28,33,23
POW,45,46,33,60,51,36,64,41,65,55,33,57,61,51,59,64,51,55,41,48,47,25
SB,61,55,51,68,59,52,64,58,76,63,37,44,66,60,66,59,66,74,68,51,61,66
PAR,39,40,44,61,51,40,45,35,52,49,29,36,56,52,50,43,49,59,54,46,50,58
PLA,71,81,85,81,77,67,81,66,91,76,59,73,78,70,77,74,77,86,77,67,87,88
EUG,12,8,18,27,22,22,26,10,18,21,15,12,11,15,28,29,19,21,22,12,17,37
WAW,80,92,91,96,94,68,95,88,104,92,76,77,97,95,95,82,91,87,88,68,87,89
