Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,27,33,22,28,20,24,33,22,28,34,19,20,22,29,33,32,29,33,37,23,41,46
MARIN29,9,17,8,10,4,8,21,6,18,17,7,9,14,14,15,10,16,22,10,12,19,16
MARIN35,8,15,3,8,2,5,16,6,15,12,6,6,8,13,12,10,13,18,10,9,19,14
JRA,16,22,10,18,6,9,23,9,18,17,5,9,10,15,19,9,16,18,11,13,15,10
POW,17,21,13,25,26,18,39,16,34,23,6,22,10,19,25,28,28,30,22,16,18,8
SB,30,31,24,34,30,25,42,34,40,33,14,17,24,29,30,25,36,46,38,17,23,32
PAR,17,23,13,36,27,17,31,17,25,23,8,9,19,30,30,19,31,35,27,18,17,28
PLA,37,44,47,45,43,32,46,35,49,38,27,27,32,44,42,40,40,48,43,32,45,50
EUG,6,4,11,15,9,8,16,3,10,11,8,0,1,11,13,19,7,5,14,4,9,24
WAW,40,44,52,48,50,31,49,49,52,44,35,28,39,51,52,41,47,50,46,29,46,49
