Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,21,22,22,28,15,26,24,15,23,31,17,14,22,18,30,23,18,37,41,19,57,57
MAR2,7,5,7,7,6,3,11,3,15,17,9,2,7,7,11,12,9,19,3,10,13,13
MAR1,7,6,5,7,5,1,7,1,14,13,7,0,4,4,3,10,4,16,1,7,11,11
JRA,10,11,15,19,9,4,15,7,19,20,11,5,5,7,7,17,9,14,2,7,6,6
POW,12,10,5,19,11,12,27,17,22,27,22,21,34,17,23,26,17,23,15,17,4,4
SB,23,21,27,29,17,23,40,19,27,35,21,18,33,22,28,28,35,35,30,30,22,22
PAR,7,13,16,11,9,11,13,10,14,20,8,6,16,13,18,18,24,22,25,13,22,22
PLA,31,33,30,38,26,38,30,28,29,33,18,15,26,22,27,30,32,42,31,25,45,45
EUG,1,1,4,8,5,5,7,1,6,5,3,0,1,0,6,10,8,5,5,3,6,6
WAW,35,46,41,51,43,40,47,40,53,58,35,21,48,47,41,31,35,42,37,23,59,59
