Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,11,11,6,14,4,14,19,5,10,13,9,3,6,14,18,14,12,15,23,6,8,28
MARIN29,3,5,3,3,0,2,9,2,8,6,1,1,3,5,5,4,6,9,2,4,5,6
MARIN35,4,6,2,3,0,1,6,1,7,5,0,0,2,3,3,3,1,7,1,2,4,6
JRA,4,9,4,9,2,2,13,3,11,9,1,3,2,5,4,4,3,7,1,2,4,3
POW,2,1,0,0,5,3,18,1,13,7,4,5,2,6,6,3,10,5,9,6,6,0
SB,9,13,8,16,7,10,30,8,14,14,4,6,5,14,10,7,22,16,17,13,5,11
PAR,3,5,3,5,2,4,9,4,5,4,0,2,2,10,8,4,15,9,13,5,3,12
PLA,16,16,14,25,8,20,23,13,14,17,10,7,9,17,20,17,23,25,23,11,18,28
EUG,1,0,1,5,3,2,6,1,3,3,1,0,0,0,4,7,1,0,5,1,1,4
WAW,16,20,18,27,21,23,31,21,24,26,15,8,13,30,19,15,21,26,22,10,18,37
