Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,26.33648872,27.42090988,26.80488777,25.84826088,26.87913895,25.20991516,26.55419159,26.58888817,27.00008583,27.27451134,24.58582497,25.11074448,26.49073982,26.95111656,27.95428658,27.7745266,27.00255775,27.70135689,27.99996185,26.98583031,27.69468117,29.8660965
MAR2,24.65402603,25.1485157,24.32936668,24.36125565,24.43016052,23.72661781,24.17962265,24.01112175,25.46222878,24.79513359,23.15478134,23.26224518,24.31115341,24.99228096,25.76520729,25.26849937,25.45502663,26.24594116,25.07453728,25.25855827,26.35483551,26.81760597
MAR1,24.5439415,24.64263916,23.58759117,23.90462303,24.17535591,23.19720268,23.68030357,23.27665329,24.6897068,24.49917603,22.81432533,22.9911499,23.95119095,24.91546249,25.46941948,25.08657455,25.0017395,25.80251503,24.80125046,25.0333252,26.48268127,26.93535233
JRA,25.06095123,25.68408585,25.35772896,25.33308601,25.87767601,24.94187164,25.50060654,25.41170692,25.88504219,26.41528702,23.86639404,23.29675484,24.58445168,25.5444622,26.17584038,25.50009537,25.27854347,25.72561646,24.83849525,24.98314857,25.87936783,25.9084549
POW,27.75853157,27.35907936,26.42161751,27.4881115,27.86843109,27.15389824,27.78395271,27.55385017,28.38699913,27.94299507,26.53206444,27.75892067,28.78369713,28.31007004,28.92766953,28.4909153,27.6804409,28.33419228,27.64818573,27.26171303,27.77011108,25.97902679
SB,28.17608452,27.70149422,27.34873962,27.53353119,28.13138771,27.2047081,27.62073898,27.84597397,28.31735611,27.86005783,26.34552193,26.17743111,28.10937309,28.55125618,28.75747871,28.25326538,28.49934006,28.94534492,28.44001007,27.25079346,27.99605942,28.10526466
PAR,26.50293541,26.60296249,26.55456352,26.32740974,26.99374962,25.60286713,25.89781952,26.49165916,26.7765274,26.69535065,24.63104248,24.96447945,27.01223373,27.85466576,27.4115696,26.78465462,26.98699379,27.17129707,26.90581894,26.08447266,26.75984001,27.63326645
PLA,28.08272934,29.08110619,28.63356972,27.65983963,28.8696003,27.02892113,27.98393631,28.24073982,28.53178215,28.13899994,25.9775219,26.20681953,27.74180794,28.61118698,28.79862785,28.56983566,28.30820656,28.40709114,28.11285019,27.40777588,28.40756989,29.93018341
EUG,22.36273956,22.42299461,22.69597816,23.02217484,23.18808556,22.40450478,23.01293564,22.31275558,21.64667511,22.7781601,21.08081818,20.7530899,21.71805382,23.30741501,24.01796341,24.23628235,23.62826538,22.92495155,22.98239899,22.97075081,22.92993164,24.7961998
WAW,28.13160133,29.25053215,28.68994713,27.81319237,29.35704803,26.89376068,28.19908524,28.84229851,29.05601692,28.91710663,26.48243713,26.03384018,28.59094238,29.75798416,29.40377617,28.30070686,28.02468109,27.9056015,28.10190964,26.65379715,27.63359642,29.52723122
