Population,Year2000,Year2001,Year2002,Year2003,Year2004,Year2005,Year2006,Year2007,Year2008,Year2009,Year2010,Year2011,Year2012,Year2013,Year2014,Year2015,Year2016,Year2017,Year2018,Year2019,Year2020,Year2021
HOP,9.042333603,8.840333939,8.759333611,10.12800026,10.17733383,9.925666809,8.216000557,9.264667511,8.366333961,9.183667183,9.289999962,8.387001038,8.584000587,8.995666504,11.01700115,12.40833378,10.67900085,9.374333382,9.015000343,8.648333549,9.312299728,8.797633171
MARIN29,10.38333321,9.721000671,9.897666931,11.22800064,10.82366753,10.19666767,9.368333817,9.896666527,9.538333893,9.922000885,10.29200077,9.070333481,9.565333366,9.267666817,11.48266697,12.38233376,11.5646677,10.71966743,10.47933388,10.0510006,10.66549969,10.63019943
MARIN35,10.43366718,9.727666855,9.896333694,11.1260004,10.67633343,9.760667801,9.00133419,9.51233387,9.381999969,9.763000488,10.20433426,8.856666565,9.486666679,9.217000008,11.21600056,12.07366753,11.58433342,10.81200027,10.24733353,10.17133331,10.56680012,10.80369949
JRA,11.2553339,10.9586668,10.81900024,12.04700089,12.32266712,11.57266712,10.69000053,11.38800049,10.34933376,11.11700058,11.5306673,10.50133324,10.72066689,10.72833347,13.20666695,14.01866722,12.67700005,11.33766747,11.91166687,10.57566738,11.51609993,11.10363293
POW,14.36400032,13.20600033,14.64366722,15.91333389,15.21666718,14.52300072,13.87833405,15.01033401,14.32033443,15.06333351,14.97066784,14.2553339,15.45166683,14.79366779,17.39300156,18.25333405,16.56900024,14.75033474,15.80366707,13.28366756,14.98916626,14.04476643
SB,11.7723341,11.32566738,11.1186676,12.58333397,11.95533371,12.2563343,10.94266701,11.71633434,11.38066769,11.5753336,11.53966713,11.19466686,11.53133392,10.92933369,12.91400051,13.34433365,13.15366745,12.1420002,12.39900017,10.73766708,11.65583324,12.68149948
PAR,10.5510006,9.327667236,8.73800087,10.50933361,10.33700085,10.36300087,8.520999908,9.19033432,8.984333992,9.319666862,9.541000366,9.108333588,9.470334053,9.446667671,11.95466709,12.14333344,10.91666698,10.10033417,10.12433434,9.146333694,9.631632805,9.709332466
PLA,9.840000153,9.445333481,9.062000275,10.37866688,10.26833344,9.966667175,9.013999939,9.892333984,9.076334,9.436333656,9.710333824,8.33133316,9.448000908,9.727334023,12.01333332,12.41700077,11.09666729,9.934333801,9.962333679,8.998666763,10.07999992,9.533766747
EUG,5.908667088,6.052667141,6.177000046,7.673666954,7.260000229,6.889333725,6.157666683,6.176666737,4.801666737,5.271667004,7.715000153,5.801333904,5.547000408,5.708333492,6.427333832,8.515666962,7.651667118,5.417333603,5.99600029,5.128000259,6.716800213,6.506499767
WAW,8.389333725,7.912333488,8.450333595,9.565333366,9.087667465,8.832333565,7.373000145,8.833666801,7.820333481,8.621334076,8.343000412,7.366666794,8.737333298,8.664000511,11.22933388,12.15700054,9.608000755,8.086667061,8.936667442,6.876333714,8.430966377,8.110799789
