"","Temperature","Population","Individual","Bloodfed.Date","Egg.Date","Eggs","Death.Date","Winglength","Oviposited","Notes","CycleLength","EFD"
"1",27.5,"HOP","HOP101",2022-08-06,2022-08-22,17,2022-08-22,3.55,"y","",16,1.0625
"2",17.12,"HOP","HOP102",2022-08-06,2022-09-17,95,NA,3.364,"y","",42,2.26190476190476
"3",5.49,"HOP","HOP103",2022-08-06,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
"4",23.75,"HOP","HOP104",2022-08-06,2022-08-17,32,NA,3.452,"y","Put adult in PCR tube in -80. Put eggs (which were laid on the cotton ball) at room temp on the counter where eggs from the reared populations usually live",11,2.90909090909091
"5",13.35,"HOP","HOP105",2022-08-06,2022-08-28,54,NA,NA,"y","Sample not sufficiently intact for wing length measurement",22,2.45454545454545
"6",17.12,"HOP","HOP106",2022-08-06,2022-08-25,4,NA,NA,"y","in PCR tube in -80",19,0.210526315789474
"7",27.5,"HOP","HOP107",2022-08-06,2022-08-22,2,NA,NA,"y","",16,0.125
"8",5.49,"HOP","HOP108",2022-08-06,NA,0,2022-09-12,NA,"n","",NA,NA
"9",13.35,"HOP","HOP109",2022-08-06,2022-09-10,54,2022-09-10,3.065,"y","",35,1.54285714285714
"10",23.75,"HOP","HOP110",2022-08-06,2022-08-18,123,NA,3.498,"y","Put adult in PCR tube in -80. Put the whole oviposition cup (since eggs were laid in multiple places) at room temp on the counter where eggs from the reaerd populations usually live",12,10.25
"11",17.12,"HOP","HOP111",2022-08-07,2022-08-23,1,NA,NA,"y","Wings were too wet/smooshed together to measure",16,0.0625
"12",27.5,"HOP","HOP112",2022-08-06,2022-08-14,21,NA,3.273,"y","Put whole deli cup, including eggs (laid on sugar cotton ball) and live adult in the -80",8,2.625
"13",5.49,"HOP","HOP113",2022-08-06,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
"14",13.35,"HOP","HOP114",2022-08-06,2022-09-12,24,NA,3.44,"y","",37,0.648648648648649
"15",23.75,"HOP","HOP115",2022-08-06,NA,0,2022-08-30,NA,"n","",NA,NA
"16",23.75,"MAR","MAR101",2022-08-06,2022-08-22,212,NA,3.442,"y","suspected earlier date",16,13.25
"17",17.12,"MAR","MAR102",2022-08-06,2022-09-12,73,NA,3.451,"y","",37,1.97297297297297
"18",5.49,"MAR","MAR103",2022-08-06,NA,0,2022-09-07,NA,"n","",NA,NA
"19",27.5,"JRA","JRA101",2022-08-07,NA,0,NA,NA,NA,"This one looked died 8/13/22 but looked like it got squished in the pantyhose, so I would probably mark it as 'NA' with respect to lifespan since this was an unnatural cause. Sample was not put in -80 becuase it was too squished",NA,NA
"20",5.49,"JRA","JRA102",2022-08-07,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
"21",13.35,"JRA","JRA103",2022-08-07,NA,0,2022-09-16,NA,"n","",NA,NA
"22",17.12,"JRA","JRA104",2022-08-07,NA,0,2022-08-18,NA,"n","In PCR tube in -80",NA,NA
"23",23.75,"JRA","JRA105",2022-08-07,NA,0,2022-08-16,NA,"n","In PCR tube in -80",NA,NA
"24",23.75,"JRA","JRA106",2022-08-07,2022-08-22,14,NA,2.89,"y","",15,0.933333333333333
"25",13.35,"JRA","JRA107",2022-08-07,NA,0,2022-08-25,NA,"n","In PCR tube in -80",NA,NA
"26",5.49,"JRA","JRA108",2022-08-07,NA,0,2022-08-25,NA,"n","In PCR tube in -80",NA,NA
"27",17.12,"JRA","JRA109",2022-08-07,NA,0,2022-08-16,NA,"n","In PCR tube - 80",NA,NA
"28",27.5,"MAR","MAR104",2022-08-07,2022-08-27,3,NA,3.42,"y","",20,0.15
"29",13.35,"MAR","MAR105",2022-08-07,NA,0,2022-09-23,NA,"n","",NA,NA
"30",23.75,"MAR","MAR106",2022-08-07,NA,0,2022-09-03,NA,"n","",NA,NA
"31",17.12,"MAR","MAR106",2022-08-07,2022-08-26,88,NA,3.397,"y","",19,4.63157894736842
"32",27.5,"MAR","MAR107",2022-08-07,2022-08-22,104,NA,2.939,"y","",15,6.93333333333333
"33",27.5,"JRA","JRA110",2022-08-08,NA,0,2022-08-14,NA,"n","In PCR tube in -80",NA,NA
"34",27.5,"JRA","JRA110",2022-08-08,2022-08-24,6,NA,NA,"y","",16,0.375
"35",13.35,"PAR","PAR101",2022-08-09,2022-08-28,25,NA,3.178,"y","",19,1.31578947368421
"36",27.5,"PAR","PAR102",2022-08-09,NA,0,2022-08-14,NA,"n","In PCR tube in -80",NA,NA
"37",17.12,"PAR","PAR103",2022-08-09,2022-08-22,132,NA,3.114,"y","",13,10.1538461538462
"38",23.75,"PAR","PAR104",2022-08-09,2022-08-15,45,NA,3.571,"y","Put whole deli cup, including eggs (laid on sugar cotton ball) and live adult in the -80",6,7.5
"39",5.49,"PAR","PAR105",2022-08-09,NA,0,2022-08-31,NA,"n","",NA,NA
"40",5.49,"PAR","PAR106",2022-08-09,NA,0,2022-08-31,NA,"n","",NA,NA
"41",23.75,"PAR","PAR107",2022-08-09,2022-08-26,30,NA,3.414,"y","",17,1.76470588235294
"42",17.12,"PAR","PAR108",2022-08-09,2022-08-22,80,NA,3.196,"y","",13,6.15384615384615
"43",17.12,"PAR","PAR108B",2022-08-09,2022-08-25,69,NA,NA,"y","",16,4.3125
"44",13.35,"MUR","MUR101",2022-08-09,2022-08-26,4,NA,NA,"y","Wing broken",17,0.235294117647059
"45",5.49,"MUR","MUR102",2022-08-09,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
"46",23.75,"MUR","MUR103",2022-08-09,NA,NA,NA,NA,"","sample missing",NA,NA
"47",23.75,"HOP","HOP215",2022-08-11,2022-08-22,107,NA,3.38,"y","",11,9.72727272727273
"48",13.35,"MAR","MAR209",2022-08-11,2022-09-10,21,2022-09-10,3.262,"y","",30,0.7
"49",5.49,"MAR","MAR210",2022-08-11,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
"50",17.12,"MAR","MAR211",2022-08-11,2022-09-16,31,NA,3.67,"y","",36,0.861111111111111
"51",13.35,"MAR","MAR212",2022-08-11,NA,NA,NA,NA,NA,"Accidentally released on 8/15. Sorry!!",NA,NA
"52",5.49,"MAR","MAR213",2022-08-11,NA,0,NA,NA,"n","Adult still alive but no eggs laid by date of experiment termination (9/28)",NA,NA
